"Tabela 1737 - IPCA - Série histórica com número-índice, variação mensal e variações acumuladas em 3 meses, em 6 meses, no ano e em 12 meses (a partir de dezembro/1979)"
"Mês","","Variável"
"Mês","","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","IPCA - Variação mensal (%)","IPCA - Variação acumulada em 3 meses (%)","IPCA - Variação acumulada em 6 meses (%)","IPCA - Variação acumulada no ano (%)","IPCA - Variação acumulada em 12 meses (%)"
"dezembro 1985","Brasil","0.0000017322163","15.07","45.08","99.26","242.23","242.23"
"janeiro 1986","Brasil","0.0000019811765","14.37","50.00","106.59","14.37","250.23"
"fevereiro 1986","Brasil","0.0000022331080","12.72","48.35","107.82","28.92","256.08"
"março 1986","Brasil","0.0000023396314","4.77","35.07","95.95","35.07","238.65"
"abril 1986","Brasil","0.0000023578806","0.78","19.01","78.52","36.12","215.44"
"maio 1986","Brasil","0.0000023908694","1.40","7.06","58.83","38.02","198.38"
"junho 1986","Brasil","0.0000024212846","1.27","3.49","39.78","39.78","178.52"
"julho 1986","Brasil","0.0000024626960","1.71","4.45","24.30","42.17","156.80"
"agosto 1986","Brasil","0.0000025501983","3.55","6.66","14.20","47.22","137.33"
"setembro 1986","Brasil","0.0000025939494","1.72","7.13","10.87","49.75","117.25"
"outubro 1986","Brasil","0.0000026433156","1.90","7.33","12.11","52.60","100.13"
"novembro 1986","Brasil","0.0000027874369","5.45","9.30","16.59","60.92","85.17"
"dezembro 1986","Brasil","0.0000031121777","11.65","19.98","28.53","79.66","79.66"
"janeiro 1987","Brasil","0.0000035232510","13.21","33.29","43.06","13.21","77.84"
"fevereiro 1987","Brasil","0.0000039684829","12.64","42.37","55.61","27.51","77.71"
"março 1987","Brasil","0.0000046181985","16.37","48.39","78.04","48.39","97.39"
"abril 1987","Brasil","0.0000055002395","19.10","56.11","108.08","76.73","133.27"
"maio 1987","Brasil","0.0000066801157","21.45","68.33","139.65","114.64","179.40"
"junho 1987","Brasil","0.0000079968603","19.71","73.16","156.95","156.95","230.27"
"julho 1987","Brasil","0.0000087333762","9.21","58.78","147.88","180.62","254.63"
"agosto 1987","Brasil","0.0000091587212","4.87","37.10","130.79","194.29","259.14"
"setembro 1987","Brasil","0.0000098713730","7.78","23.44","113.75","217.19","280.55"
"outubro 1987","Brasil","0.0000109789545","11.22","25.71","99.61","252.77","315.35"
"novembro 1987","Brasil","0.0000126344777","15.08","37.95","89.14","305.97","353.27"
"dezembro 1987","Brasil","0.0000144221901","14.15","46.10","80.35","363.41","363.41"
"janeiro 1988","Brasil","0.0000171464570","18.89","56.18","96.33","18.89","386.67"
"fevereiro 1988","Brasil","0.0000198384369","15.70","57.02","116.61","37.55","399.90"
"março 1988","Brasil","0.0000233301029","17.60","61.77","136.34","61.77","405.18"
"abril 1988","Brasil","0.0000278303890","19.29","62.31","153.49","92.97","405.99"
"maio 1988","Brasil","0.0000326783343","17.42","64.72","158.64","126.58","389.19"
"junho 1988","Brasil","0.0000398675537","22.00","70.88","176.43","176.43","398.54"
"julho 1988","Brasil","0.0000486025677","21.91","74.64","183.46","237.00","456.52"
"agosto 1988","Brasil","0.0000590958147","21.59","80.84","197.89","309.76","545.24"
"setembro 1988","Brasil","0.0000753176493","27.45","88.92","222.83","422.23","662.99"
"outubro 1988","Brasil","0.0000946139936","25.62","94.67","239.97","556.03","761.78"
"novembro 1988","Brasil","0.0001210492553","27.94","104.84","270.43","739.33","858.09"
"dezembro 1988","Brasil","0.0001557904426","28.70","106.84","290.77","980.21","980.21"
"janeiro 1989","Brasil","0.0002141963000","37.49","126.39","340.71","37.49","1149.22"
"fevereiro 1989","Brasil","0.0002501384201","16.78","106.64","323.28","60.56","1160.88"
"março 1989","Brasil","0.0002671978428","6.82","71.51","254.76","71.51","1045.29"
"abril 1989","Brasil","0.0002894554586","8.33","35.14","205.93","85.80","940.07"
"maio 1989","Brasil","0.0003413257896","17.92","36.45","181.97","119.09","944.50"
"junho 1989","Brasil","0.0004391155989","28.65","64.34","181.86","181.86","1001.44"
"julho 1989","Brasil","0.0005609261703","27.74","93.79","161.87","260.05","1054.11"
"agosto 1989","Brasil","0.0007500144816","33.71","119.74","199.84","381.43","1169.15"
"setembro 1989","Brasil","0.0010317199110","37.56","134.95","286.13","562.25","1269.82"
"outubro 1989","Brasil","0.0014420348808","39.77","157.08","398.19","825.62","1424.12"
"novembro 1989","Brasil","0.0021316159803","47.82","184.21","524.51","1268.26","1660.95"
"dezembro 1989","Brasil","0.0032293981927","51.50","213.01","635.43","1972.91","1972.91"
"janeiro 1990","Brasil","0.0054108567454","67.55","275.22","864.63","67.55","2426.12"
"fevereiro 1990","Brasil","0.0095084984833","75.73","346.07","1167.78","194.44","3701.29"
"março 1990","Brasil","0.0173425503510","82.39","437.02","1580.94","437.02","6390.53"
"abril 1990","Brasil","0.0200341140678","15.52","270.26","1289.29","520.37","6821.31"
"maio 1990","Brasil","0.0215547032441","7.59","126.69","911.19","567.45","6214.99"
"junho 1990","Brasil","0.0240873809519","11.75","38.89","645.88","645.88","5385.43"
"julho 1990","Brasil","0.0271994704920","12.92","35.77","402.68","742.25","4749.03"
"agosto 1990","Brasil","0.0307027623187","12.88","42.44","222.90","850.73","3993.62"
"setembro 1990","Brasil","0.0351270304097","14.41","45.83","102.55","987.73","3304.71"
"outubro 1990","Brasil","0.0401712720553","14.36","47.69","100.51","1143.92","2685.74"
"novembro 1990","Brasil","0.0469240627842","16.81","52.83","117.70","1353.03","2101.34"
"dezembro 1990","Brasil","0.0555768600186","18.44","58.22","130.73","1620.97","1620.97"
"janeiro 1991","Brasil","0.0671090584724","20.75","67.06","146.73","20.75","1140.27"
"fevereiro 1991","Brasil","0.0810143888491","20.72","72.65","163.87","45.77","752.02"
"março 1991","Brasil","0.0906736471203","11.92","63.15","158.13","63.15","422.84"
"abril 1991","Brasil","0.0951976035258","4.99","41.86","136.98","71.29","375.18"
"maio 1991","Brasil","0.1022725378062","7.43","26.24","117.95","84.02","374.48"
"junho 1991","Brasil","0.1137158132840","11.19","25.41","104.61","104.61","372.10"
"julho 1991","Brasil","0.1278267780427","12.41","34.28","90.48","130.00","369.96"
"agosto 1991","Brasil","0.1478066592194","15.63","44.52","82.44","165.95","381.41"
"setembro 1991","Brasil","0.1709099599291","15.63","50.30","88.49","207.52","386.55"
"outubro 1991","Brasil","0.2054843245466","20.23","60.75","115.85","269.73","411.52"
