"Tabela 1737 - IPCA - Série histórica com número-índice, variação mensal e variações acumuladas em 3 meses, em 6 meses, no ano e em 12 meses (a partir de dezembro/1979)"
"Mês","","Variável"
"Mês","","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","IPCA - Variação mensal (%)","IPCA - Variação acumulada em 3 meses (%)","IPCA - Variação acumulada em 6 meses (%)","IPCA - Variação acumulada no ano (%)","IPCA - Variação acumulada em 12 meses (%)"
"março 2005","Brasil","2441.8700000000000","0.61","1.79","3.83","1.79","7.54"
"abril 2005","Brasil","2463.1100000000000","0.87","2.08","4.27","2.68","8.07"
"maio 2005","Brasil","2475.1800000000000","0.49","1.98","4.07","3.18","8.05"
"junho 2005","Brasil","2474.6800000000000","-0.02","1.34","3.16","3.16","7.27"
"julho 2005","Brasil","2480.8700000000000","0.25","0.72","2.82","3.42","6.57"
"agosto 2005","Brasil","2485.0900000000000","0.17","0.40","2.39","3.59","6.02"
"setembro 2005","Brasil","2493.7900000000000","0.35","0.77","2.13","3.95","6.04"
"outubro 2005","Brasil","2512.4900000000000","0.75","1.27","2.00","4.73","6.36"
"novembro 2005","Brasil","2526.3100000000000","0.55","1.66","2.07","5.31","6.22"
"dezembro 2005","Brasil","2535.4000000000000","0.36","1.67","2.45","5.69","5.69"
"janeiro 2006","Brasil","2550.3600000000000","0.59","1.51","2.80","0.59","5.70"
"fevereiro 2006","Brasil","2560.8200000000000","0.41","1.37","3.05","1.00","5.51"
"março 2006","Brasil","2571.8300000000000","0.43","1.44","3.13","1.44","5.32"
"abril 2006","Brasil","2577.2300000000000","0.21","1.05","2.58","1.65","4.63"
"maio 2006","Brasil","2579.8100000000000","0.10","0.74","2.12","1.75","4.23"
"junho 2006","Brasil","2574.3900000000000","-0.21","0.10","1.54","1.54","4.03"
"julho 2006","Brasil","2579.2800000000000","0.19","0.08","1.13","1.73","3.97"
"agosto 2006","Brasil","2580.5700000000000","0.05","0.03","0.77","1.78","3.84"
"setembro 2006","Brasil","2585.9900000000000","0.21","0.45","0.55","2.00","3.70"
"outubro 2006","Brasil","2594.5200000000000","0.33","0.59","0.67","2.33","3.26"
"novembro 2006","Brasil","2602.5600000000000","0.31","0.85","0.88","2.65","3.02"
"dezembro 2006","Brasil","2615.0500000000000","0.48","1.12","1.58","3.14","3.14"
"janeiro 2007","Brasil","2626.5600000000000","0.44","1.23","1.83","0.44","2.99"
"fevereiro 2007","Brasil","2638.1200000000000","0.44","1.37","2.23","0.88","3.02"
"março 2007","Brasil","2647.8800000000000","0.37","1.26","2.39","1.26","2.96"
"abril 2007","Brasil","2654.5000000000000","0.25","1.06","2.31","1.51","3.00"
"maio 2007","Brasil","2661.9300000000000","0.28","0.90","2.28","1.79","3.18"
"junho 2007","Brasil","2669.3800000000000","0.28","0.81","2.08","2.08","3.69"
"julho 2007","Brasil","2675.7900000000000","0.24","0.80","1.87","2.32","3.74"
"agosto 2007","Brasil","2688.3700000000000","0.47","0.99","1.90","2.80","4.18"
"setembro 2007","Brasil","2693.2100000000000","0.18","0.89","1.71","2.99","4.15"
"outubro 2007","Brasil","2701.2900000000000","0.30","0.95","1.76","3.30","4.12"
"novembro 2007","Brasil","2711.5500000000000","0.38","0.86","1.86","3.69","4.19"
"dezembro 2007","Brasil","2731.6200000000000","0.74","1.43","2.33","4.46","4.46"
"janeiro 2008","Brasil","2746.3700000000000","0.54","1.67","2.64","0.54","4.56"
"fevereiro 2008","Brasil","2759.8300000000000","0.49","1.78","2.66","1.03","4.61"
"março 2008","Brasil","2773.0800000000000","0.48","1.52","2.97","1.52","4.73"
"abril 2008","Brasil","2788.3300000000000","0.55","1.53","3.22","2.08","5.04"
"maio 2008","Brasil","2810.3600000000000","0.79","1.83","3.64","2.88","5.58"
"junho 2008","Brasil","2831.1600000000000","0.74","2.09","3.64","3.64","6.06"
"julho 2008","Brasil","2846.1600000000000","0.53","2.07","3.63","4.19","6.37"
"agosto 2008","Brasil","2854.1300000000000","0.28","1.56","3.42","4.48","6.17"
"setembro 2008","Brasil","2861.5500000000000","0.26","1.07","3.19","4.76","6.25"
"outubro 2008","Brasil","2874.4300000000000","0.45","0.99","3.09","5.23","6.41"
"novembro 2008","Brasil","2884.7800000000000","0.36","1.07","2.65","5.61","6.39"
"dezembro 2008","Brasil","2892.8600000000000","0.28","1.09","2.18","5.90","5.90"
"janeiro 2009","Brasil","2906.7400000000000","0.48","1.12","2.13","0.48","5.84"
"fevereiro 2009","Brasil","2922.7300000000000","0.55","1.32","2.40","1.03","5.90"
"março 2009","Brasil","2928.5700000000000","0.20","1.23","2.34","1.23","5.61"
"abril 2009","Brasil","2942.6300000000000","0.48","1.23","2.37","1.72","5.53"
"maio 2009","Brasil","2956.4600000000000","0.47","1.15","2.48","2.20","5.20"
"junho 2009","Brasil","2967.1000000000000","0.36","1.32","2.57","2.57","4.80"
"julho 2009","Brasil","2974.2200000000000","0.24","1.07","2.32","2.81","4.50"
"agosto 2009","Brasil","2978.6800000000000","0.15","0.75","1.91","2.97","4.36"
"setembro 2009","Brasil","2985.8300000000000","0.24","0.63","1.96","3.21","4.34"
"outubro 2009","Brasil","2994.1900000000000","0.28","0.67","1.75","3.50","4.17"
"novembro 2009","Brasil","3006.4700000000000","0.41","0.93","1.69","3.93","4.22"
"dezembro 2009","Brasil","3017.5900000000000","0.37","1.06","1.70","4.31","4.31"
"janeiro 2010","Brasil","3040.2200000000000","0.75","1.54","2.46","0.75","4.59"
"fevereiro 2010","Brasil","3063.9300000000000","0.78","1.91","2.86","1.54","4.83"
"março 2010","Brasil","3079.8600000000000","0.52","2.06","3.15","2.06","5.17"
"abril 2010","Brasil","3097.4200000000000","0.57","1.88","3.45","2.65","5.26"
"maio 2010","Brasil","3110.7400000000000","0.43","1.53","3.47","3.09","5.22"
"junho 2010","Brasil","3110.7400000000000","0.00","1.00","3.09","3.09","4.84"
"julho 2010","Brasil","3111.0500000000000","0.01","0.44","2.33","3.10","4.60"
"agosto 2010","Brasil","3112.2900000000000","0.04","0.05","1.58","3.14","4.49"
"setembro 2010","Brasil","3126.2900000000000","0.45","0.50","1.51","3.60","4.70"
"outubro 2010","Brasil","3149.7400000000000","0.75","1.24","1.69","4.38","5.20"
"novembro 2010","Brasil","3175.8800000000000","0.83","2.04","2.09","5.25","5.63"
"dezembro 2010","Brasil","3195.8900000000000","0.63","2.23","2.74","5.91","5.91"
"janeiro 2011","Brasil","3222.4200000000000","0.83","2.31","3.58","0.83","5.99"
"fevereiro 2011","Brasil","3248.2000000000000","0.80","2.28","4.37","1.64","6.01"
"março 2011","Brasil","3273.8600000000000","0.79","2.44","4.72","2.44","6.30"
"abril 2011","Brasil","3299.0700000000000","0.77","2.38","4.74","3.23","6.51"
"maio 2011","Brasil","3314.5800000000000","0.47","2.04","4.37","3.71","6.55"
"junho 2011","Brasil","3319.5500000000000","0.15","1.40","3.87","3.87","6.71"
"julho 2011","Brasil","3324.8600000000000","0.16","0.78","3.18","4.04","6.87"
"agosto 2011","Brasil","3337.1600000000000","0.37","0.68","2.74","4.42","7.23"
"setembro 2011","Brasil","3354.8500000000000","0.53","1.06","2.47","4.97","7.31"
"outubro 2011","Brasil","3369.2800000000000","0.43","1.34","2.13","5.43","6.97"
"novembro 2011","Brasil","3386.8000000000000","0.52","1.49","2.18","5.97","6.64"
"dezembro 2011","Brasil","3403.7300000000000","0.50","1.46","2.54","6.50","6.50"
"janeiro 2012","Brasil","3422.7900000000000","0.56","1.59","2.95","0.56","6.22"
"fevereiro 2012","Brasil","3438.1900000000000","0.45","1.52","3.03","1.01","5.84"
"março 2012","Brasil","3445.4100000000000","0.21","1.22","2.70","1.22","5.24"
"abril 2012","Brasil","3467.4600000000000","0.64","1.31","2.91","1.87","5.10"
"maio 2012","Brasil","3479.9400000000000","0.36","1.21","2.75","2.24","4.99"
"junho 2012","Brasil","3482.7200000000000","0.08","1.08","2.32","2.32","4.92"
"julho 2012","Brasil","3497.7000000000000","0.43","0.87","2.19","2.76","5.20"
"agosto 2012","Brasil","3512.0400000000000","0.41","0.92","2.15","3.18","5.24"
"setembro 2012","Brasil","3532.0600000000000","0.57","1.42","2.51","3.77","5.28"
"outubro 2012","Brasil","3552.9000000000000","0.59","1.58","2.46","4.38","5.45"
"novembro 2012","Brasil","3574.2200000000000","0.60","1.77","2.71","5.01","5.53"
"dezembro 2012","Brasil","3602.4600000000000","0.79","1.99","3.44","5.84","5.84"
"janeiro 2013","Brasil","3633.4400000000000","0.86","2.27","3.88","0.86","6.15"
"fevereiro 2013","Brasil","3655.2400000000000","0.60","2.27","4.08","1.47","6.31"
"março 2013","Brasil","3672.4200000000000","0.47","1.94","3.97","1.94","6.59"
"abril 2013","Brasil","3692.6200000000000","0.55","1.63","3.93","2.50","6.49"
"maio 2013","Brasil","3706.2800000000000","0.37","1.40","3.69","2.88","6.50"
"junho 2013","Brasil","3715.9200000000000","0.26","1.18","3.15","3.15","6.70"
"julho 2013","Brasil","3717.0300000000000","0.03","0.66","2.30","3.18","6.27"
"agosto 2013","Brasil","3725.9500000000000","0.24","0.53","1.93","3.43","6.09"
"setembro 2013","Brasil","3738.9900000000000","0.35","0.62","1.81","3.79","5.86"
"outubro 2013","Brasil","3760.3000000000000","0.57","1.16","1.83","4.38","5.84"
"novembro 2013","Brasil","3780.6100000000000","0.54","1.47","2.01","4.95","5.77"
"dezembro 2013","Brasil","3815.3900000000000","0.92","2.04","2.68","5.91","5.91"
"janeiro 2014","Brasil","3836.3700000000000","0.55","2.02","3.21","0.55","5.59"
"fevereiro 2014","Brasil","3862.8400000000000","0.69","2.18","3.67","1.24","5.68"
"março 2014","Brasil","3898.3800000000000","0.92","2.18","4.26","2.18","6.15"
"abril 2014","Brasil","3924.5000000000000","0.67","2.30","4.37","2.86","6.28"
"maio 2014","Brasil","3942.5500000000000","0.46","2.06","4.28","3.33","6.37"
"junho 2014","Brasil","3958.3200000000000","0.40","1.54","3.75","3.75","6.52"
"julho 2014","Brasil","3958.7200000000000","0.01","0.87","3.19","3.76","6.50"
"agosto 2014","Brasil","3968.6200000000000","0.25","0.66","2.74","4.02","6.51"
"setembro 2014","Brasil","3991.2400000000000","0.57","0.83","2.38","4.61","6.75"
"outubro 2014","Brasil","4008.0000000000000","0.42","1.24","2.13","5.05","6.59"
"novembro 2014","Brasil","4028.4400000000000","0.51","1.51","2.18","5.58","6.56"
"dezembro 2014","Brasil","4059.8600000000000","0.78","1.72","2.57","6.41","6.41"
"janeiro 2015","Brasil","4110.2000000000000","1.24","2.55","3.83","1.24","7.14"
"fevereiro 2015","Brasil","4160.3400000000000","1.22","3.27","4.83","2.48","7.70"
"março 2015","Brasil","4215.2600000000000","1.32","3.83","5.61","3.83","8.13"
"abril 2015","Brasil","4245.1900000000000","0.71","3.28","5.92","4.56","8.17"
"maio 2015","Brasil","4276.6000000000000","0.74","2.79","6.16","5.34","8.47"
"junho 2015","Brasil","4310.3900000000000","0.79","2.26","6.17","6.17","8.89"
"julho 2015","Brasil","4337.1100000000000","0.62","2.17","5.52","6.83","9.56"
"agosto 2015","Brasil","4346.6500000000000","0.22","1.64","4.48","7.06","9.53"
"setembro 2015","Brasil","4370.1200000000000","0.54","1.39","3.67","7.64","9.49"
"outubro 2015","Brasil","4405.9500000000000","0.82","1.59","3.79","8.52","9.93"
"novembro 2015","Brasil","4450.4500000000000","1.01","2.39","4.07","9.62","10.48"
"dezembro 2015","Brasil","4493.1700000000000","0.96","2.82","4.24","10.67","10.67"
"janeiro 2016","Brasil","4550.2300000000000","1.27","3.27","4.91","1.27","10.71"
"fevereiro 2016","Brasil","4591.1800000000000","0.90","3.16","5.63","2.18","10.36"
"março 2016","Brasil","4610.9200000000000","0.43","2.62","5.51","2.62","9.39"
"abril 2016","Brasil","4639.0500000000000","0.61","1.95","5.29","3.25","9.28"
"maio 2016","Brasil","4675.2300000000000","0.78","1.83","5.05","4.05","9.32"
"junho 2016","Brasil","4691.5900000000000","0.35","1.75","4.42","4.42","8.84"
"julho 2016","Brasil","4715.9900000000000","0.52","1.66","3.64","4.96","8.74"
"agosto 2016","Brasil","4736.7400000000000","0.44","1.32","3.17","5.42","8.97"
"setembro 2016","Brasil","4740.5300000000000","0.08","1.04","2.81","5.51","8.48"
"outubro 2016","Brasil","4752.8600000000000","0.26","0.78","2.45","5.78","7.87"
"novembro 2016","Brasil","4761.4200000000000","0.18","0.52","1.84","5.97","6.99"
"dezembro 2016","Brasil","4775.7000000000000","0.30","0.74","1.79","6.29","6.29"
"janeiro 2017","Brasil","4793.8500000000000","0.38","0.86","1.65","0.38","5.35"
"fevereiro 2017","Brasil","4809.6700000000000","0.33","1.01","1.54","0.71","4.76"
"março 2017","Brasil","4821.6900000000000","0.25","0.96","1.71","0.96","4.57"
"abril 2017","Brasil","4828.4400000000000","0.14","0.72","1.59","1.10","4.08"
"maio 2017","Brasil","4843.4100000000000","0.31","0.70","1.72","1.42","3.60"
"junho 2017","Brasil","4832.2700000000000","-0.23","0.22","1.18","1.18","3.00"
"julho 2017","Brasil","4843.8700000000000","0.24","0.32","1.04","1.43","2.71"
"agosto 2017","Brasil","4853.0700000000000","0.19","0.20","0.90","1.62","2.46"
"setembro 2017","Brasil","4860.8300000000000","0.16","0.59","0.81","1.78","2.54"
"outubro 2017","Brasil","4881.2500000000000","0.42","0.77","1.09","2.21","2.70"
"novembro 2017","Brasil","4894.9200000000000","0.28","0.86","1.06","2.50","2.80"
"dezembro 2017","Brasil","4916.4600000000000","0.44","1.14","1.74","2.95","2.95"
"janeiro 2018","Brasil","4930.7200000000000","0.29","1.01","1.79","0.29","2.86"
"fevereiro 2018","Brasil","4946.5000000000000","0.32","1.05","1.93","0.61","2.84"
"março 2018","Brasil","4950.9500000000000","0.09","0.70","1.85","0.70","2.68"
"abril 2018","Brasil","4961.8400000000000","0.22","0.63","1.65","0.92","2.76"
"maio 2018","Brasil","4981.6900000000000","0.40","0.71","1.77","1.33","2.86"
"junho 2018","Brasil","5044.4600000000000","1.26","1.89","2.60","2.60","4.39"
"julho 2018","Brasil","5061.1100000000000","0.33","2.00","2.64","2.94","4.48"
"agosto 2018","Brasil","5056.5600000000000","-0.09","1.50","2.23","2.85","4.19"
"setembro 2018","Brasil","5080.8300000000000","0.48","0.72","2.62","3.34","4.53"
"outubro 2018","Brasil","5103.6900000000000","0.45","0.84","2.86","3.81","4.56"
"novembro 2018","Brasil","5092.9700000000000","-0.21","0.72","2.23","3.59","4.05"
"dezembro 2018","Brasil","5100.6100000000000","0.15","0.39","1.11","3.75","3.75"
"janeiro 2019","Brasil","5116.9300000000000","0.32","0.26","1.10","0.32","3.78"
"fevereiro 2019","Brasil","5138.9300000000000","0.43","0.90","1.63","0.75","3.89"
"março 2019","Brasil","5177.4700000000000","0.75","1.51","1.90","1.51","4.58"
"abril 2019","Brasil","5206.9800000000000","0.57","1.76","2.02","2.09","4.94"
"maio 2019","Brasil","5213.7500000000000","0.13","1.46","2.37","2.22","4.66"
"junho 2019","Brasil","5214.2700000000000","0.01","0.71","2.23","2.23","3.37"
"julho 2019","Brasil","5224.1800000000000","0.19","0.33","2.10","2.42","3.22"
"agosto 2019","Brasil","5229.9300000000000","0.11","0.31","1.77","2.54","3.43"
"setembro 2019","Brasil","5227.8400000000000","-0.04","0.26","0.97","2.49","2.89"
"outubro 2019","Brasil","5233.0700000000000","0.10","0.17","0.50","2.60","2.54"
"novembro 2019","Brasil","5259.7600000000000","0.51","0.57","0.88","3.12","3.27"
"dezembro 2019","Brasil","5320.2500000000000","1.15","1.77","2.03","4.31","4.31"
"janeiro 2020","Brasil","5331.4200000000000","0.21","1.88","2.05","0.21","4.19"
"fevereiro 2020","Brasil","5344.7500000000000","0.25","1.62","2.20","0.46","4.01"
"março 2020","Brasil","5348.4900000000000","0.07","0.53","2.31","0.53","3.30"
"abril 2020","Brasil","5331.9100000000000","-0.31","0.01","1.89","0.22","2.40"
"maio 2020","Brasil","5311.6500000000000","-0.38","-0.62","0.99","-0.16","1.88"
"junho 2020","Brasil","5325.4600000000000","0.26","-0.43","0.10","0.10","2.13"
"julho 2020","Brasil","5344.6300000000000","0.36","0.24","0.25","0.46","2.31"
"agosto 2020","Brasil","5357.4600000000000","0.24","0.86","0.24","0.70","2.44"
"setembro 2020","Brasil","5391.7500000000000","0.64","1.24","0.81","1.34","3.14"
"outubro 2020","Brasil","5438.1200000000000","0.86","1.75","1.99","2.22","3.92"
"novembro 2020","Brasil","5486.5200000000000","0.89","2.41","3.29","3.13","4.31"
"dezembro 2020","Brasil","5560.5900000000000","1.35","3.13","4.42","4.52","4.52"
"janeiro 2021","Brasil","5574.4900000000000","0.25","2.51","4.30","0.25","4.56"
"fevereiro 2021","Brasil","5622.4300000000000","0.86","2.48","4.95","1.11","5.20"
"março 2021","Brasil","5674.7200000000000","0.93","2.05","5.25","2.05","6.10"
"abril 2021","Brasil","5692.3100000000000","0.31","2.11","4.67","2.37","6.76"
"maio 2021","Brasil","5739.5600000000000","0.83","2.08","4.61","3.22","8.06"
"junho 2021","Brasil","5769.9800000000000","0.53","1.68","3.77","3.77","8.35"
"julho 2021","Brasil","5825.3700000000000","0.96","2.34","4.50","4.76","8.99"
"agosto 2021","Brasil","5876.0500000000000","0.87","2.38","4.51","5.67","9.68"
"setembro 2021","Brasil","5944.2100000000000","1.16","3.02","4.75","6.90","10.25"
"outubro 2021","Brasil","6018.5100000000000","1.25","3.32","5.73","8.24","10.67"
"novembro 2021","Brasil","6075.6900000000000","0.95","3.40","5.86","9.26","10.74"
"dezembro 2021","Brasil","6120.0400000000000","0.73","2.96","6.07","10.06","10.06"
"janeiro 2022","Brasil","6153.0900000000000","0.54","2.24","5.63","0.54","10.38"
"Fonte: IBGE - Índice Nacional de Preços ao Consumidor Amplo"

"Notas"
"1 - Período de coleta ajustado ao mês civil (do primeiro ao trigésimo dia de cada mês), para os meses anteriores a março de 1986."
""
"Legenda"
"Símbolo","Significado"
"-","Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0","Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X","Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..","Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...","Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)","Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
