ANO_MES;NÚMERO_ÍNDICE;NO_MÊS;3_MESES;6_MESES;NO_ANO;12_MESES;Valor Nominal (R$) - Jan/1994;Valor Real (R$) - JAN\2022
MAR\2004;2270,75;0,47;1,85;3,03;1,85;5,89;;
ABR\2004;2279,15;0,37;1,46;3,11;2,23;5,26;;
MAI\2004;2290,77;0,51;1,36;3,28;2,75;5,15;;
JUN\2004;2307,03;0,71;1,6;3,48;3,48;6,06;;
JUL\2004;2328,02;0,91;2,14;3,63;4,42;6,81;;
AGO\2004;2344,08;0,69;2,33;3,71;5,14;7,18;;
SET\2004;2351,82;0,33;1,94;3,57;5,49;6,7;;
OUT\2004;2362,17;0,44;1,47;3,64;5,95;6,86;;
NOV\2004;2378,47;0,69;1,47;3,83;6,68;7,24;;
DEZ\2004;2398,92;0,86;2,0;3,98;7,6;7,6;;
JAN\2005;2412,83;0,58;2,14;3,64;0,58;7,41;;
FEV\2005;2427,07;0,59;2,04;3,54;1,17;7,39;;
MAR\2005;2441,87;0,61;1,79;3,83;1,79;7,54;;
ABR\2005;2463,11;0,87;2,08;4,27;2,68;8,07;;
MAI\2005;2475,18;0,49;1,98;4,07;3,18;8,05;;
JUN\2005;2474,68;-0,02;1,34;3,16;3,16;7,27;;
JUL\2005;2480,87;0,25;0,72;2,82;3,42;6,57;;
AGO\2005;2485,09;0,17;0,4;2,39;3,59;6,02;;
SET\2005;2493,79;0,35;0,77;2,13;3,95;6,04;;
OUT\2005;2512,49;0,75;1,27;2,0;4,73;6,36;;
NOV\2005;2526,31;0,55;1,66;2,07;5,31;6,22;;
DEZ\2005;2535,4;0,36;1,67;2,45;5,69;5,69;;
JAN\2006;2550,36;0,59;1,51;2,8;0,59;5,7;;
FEV\2006;2560,82;0,41;1,37;3,05;1,0;5,51;;
MAR\2006;2571,83;0,43;1,44;3,13;1,44;5,32;;
ABR\2006;2577,23;0,21;1,05;2,58;1,65;4,63;;
MAI\2006;2579,81;0,1;0,74;2,12;1,75;4,23;;
JUN\2006;2574,39;-0,21;0,1;1,54;1,54;4,03;;
JUL\2006;2579,28;0,19;0,08;1,13;1,73;3,97;;
AGO\2006;2580,57;0,05;0,03;0,77;1,78;3,84;;
SET\2006;2585,99;0,21;0,45;0,55;2,0;3,7;;
OUT\2006;2594,52;0,33;0,59;0,67;2,33;3,26;;
NOV\2006;2602,56;0,31;0,85;0,88;2,65;3,02;;
DEZ\2006;2615,05;0,48;1,12;1,58;3,14;3,14;;
JAN\2007;2626,56;0,44;1,23;1,83;0,44;2,99;;
FEV\2007;2638,12;0,44;1,37;2,23;0,88;3,02;;
MAR\2007;2647,88;0,37;1,26;2,39;1,26;2,96;;
ABR\2007;2654,5;0,25;1,06;2,31;1,51;3,0;;
MAI\2007;2661,93;0,28;0,9;2,28;1,79;3,18;;
JUN\2007;2669,38;0,28;0,81;2,08;2,08;3,69;;
JUL\2007;2675,79;0,24;0,8;1,87;2,32;3,74;;
AGO\2007;2688,37;0,47;0,99;1,9;2,8;4,18;;
SET\2007;2693,21;0,18;0,89;1,71;2,99;4,15;;
OUT\2007;2701,29;0,3;0,95;1,76;3,3;4,12;;
NOV\2007;2711,55;0,38;0,86;1,86;3,69;4,19;;
DEZ\2007;2731,62;0,74;1,43;2,33;4,46;4,46;;
JAN\2008;2746,37;0,54;1,67;2,64;0,54;4,56;;
FEV\2008;2759,83;0,49;1,78;2,66;1,03;4,61;;
MAR\2008;2773,08;0,48;1,52;2,97;1,52;4,73;;
ABR\2008;2788,33;0,55;1,53;3,22;2,08;5,04;;
MAI\2008;2810,36;0,79;1,83;3,64;2,88;5,58;;
JUN\2008;2831,16;0,74;2,09;3,64;3,64;6,06;;
JUL\2008;2846,16;0,53;2,07;3,63;4,19;6,37;;
AGO\2008;2854,13;0,28;1,56;3,42;4,48;6,17;;
SET\2008;2861,55;0,26;1,07;3,19;4,76;6,25;;
OUT\2008;2874,43;0,45;0,99;3,09;5,23;6,41;;
NOV\2008;2884,78;0,36;1,07;2,65;5,61;6,39;;
DEZ\2008;2892,86;0,28;1,09;2,18;5,9;5,9;;
JAN\2009;2906,74;0,48;1,12;2,13;0,48;5,84;;
FEV\2009;2922,73;0,55;1,32;2,4;1,03;5,9;;
MAR\2009;2928,57;0,2;1,23;2,34;1,23;5,61;;
ABR\2009;2942,63;0,48;1,23;2,37;1,72;5,53;;
MAI\2009;2956,46;0,47;1,15;2,48;2,2;5,2;;
JUN\2009;2967,1;0,36;1,32;2,57;2,57;4,8;;
JUL\2009;2974,22;0,24;1,07;2,32;2,81;4,5;;
AGO\2009;2978,68;0,15;0,75;1,91;2,97;4,36;;
SET\2009;2985,83;0,24;0,63;1,96;3,21;4,34;;
OUT\2009;2994,19;0,28;0,67;1,75;3,5;4,17;;
